city_name,state_id
Lucknow,19
Kanpur,19
Varanasi,13
Agra,2
Noida,8
Ghaziabad,2
Mumbai,18
Pune,5
Nagpur,10
Nashik,14
Chennai,5
Coimbatore,18
Madurai,4
Salem,19
Bengaluru,10
Mysuru,18
Mangaluru,27
Hubli,22
Ahmedabad,6
Surat,4
Vadodara,19
Rajkot,19
Jaipur,21
Udaipur,7
Jodhpur,12
Kota,4
Chandigarh,18
Ludhiana,23
Amritsar,3
Patiala,19
Delhi,2
Dwarka,20
Rohini,7
Saket,16
Bhopal,22
Indore,18
Jabalpur,14
Raipur,25
Durg,11
Bilaspur,15
Patna,19
Gaya,15
Bhagalpur,12
Ranchi,10
Jamshedpur,8
Dhanbad,26
Kolkata,6
Howrah,23
Durgapur,25
Asansol,8
Bhubaneswar,3
Cuttack,19
Puri,10
Rourkela,17
Guwahati,16
Silchar,11
Dibrugarh,24
Hyderabad,15
Warangal,10
Nizamabad,20
Visakhapatnam,3
Vijayawada,4
Guntur,17
Tirupati,14
Kochi,6
Trivandrum,25
Kozhikode,11
Thrissur,5
Panaji,16
Margao,14
Shimla,2
Solan,22
Dehradun,3
Haridwar,25
Roorkee,18
Srinagar,19
Jammu,26
Leh,27
Gangtok,11
Agartala,11
Shillong,23
Tura,12
Imphal,20
Aizawl,16
Kohima,19
Dimapur,26
Itanagar,15
Pasighat,3
Bikaner,27
Alwar,3
Ajmer,9
Hisar,16
Panipat,23
Sonipat,22
Faridabad,3
Gurgaon,2
