distributor_name,city_id,contact_number,registration_date
Shree Kota Distributors,76,9320110025,2021-01-01
Shree Roorkee Distributors,47,9416173375,2021-01-01
Shree Thrissur Distributors,26,9442672763,2021-01-01
Shree Chandigarh Distributors,69,9461331100,2021-01-01
Shree Bilaspur Distributors,86,9555014623,2021-01-01
Shree Hisar Distributors,9,9380418002,2021-01-01
Shree Mangaluru Distributors,92,9122461027,2021-01-01
Shree Vijayawada Distributors,50,9476776867,2021-01-01
Shree Bhubaneswar Distributors,14,9375631957,2021-01-01
Shree Indore Distributors,32,9403432167,2021-01-01
Shree Bengaluru Distributors,27,9151977728,2021-01-01
Shree Ahmedabad Distributors,27,9868543794,2021-01-01
Shree Silchar Distributors,15,9915884849,2021-01-01
Shree Gangtok Distributors,5,9495163096,2021-01-01
Shree Patiala Distributors,5,9444486646,2021-01-01
Shree Visakhapatnam Distributors,82,9925962472,2021-01-01
Shree Jamshedpur Distributors,12,9746401565,2021-01-01
Shree Hubli Distributors,81,9640883830,2021-01-01
Shree Faridabad Distributors,81,9611189985,2021-01-01
Shree Gaya Distributors,37,9408860505,2021-01-01
Shree Jammu Distributors,62,9763868645,2021-01-01
Shree Tura Distributors,13,9900640850,2021-01-01
Shree Rourkela Distributors,17,9133265983,2021-01-01
Shree Ghaziabad Distributors,13,9947242276,2021-01-01
Shree Ajmer Distributors,83,9543370480,2021-01-01
