order_id,product_id,quantity,selling_price
1,149,38,111.76
1,67,58,163.68
1,134,25,29.04
1,123,37,178.64
2,24,16,80.96
2,180,23,51.04
3,200,38,219.12
3,39,20,38.72
3,12,36,94.16
3,96,60,110.88
4,40,25,171.6
5,156,6,132.0
5,25,7,185.68
5,53,60,63.36
5,145,36,113.52
5,151,41,168.08
6,115,54,182.16
7,87,17,93.28
8,9,40,76.56
9,154,45,215.6
10,82,41,163.68
10,60,46,67.76
10,23,47,206.8
11,95,20,27.28
11,185,19,58.08
12,142,6,194.48
13,15,11,72.16
13,38,25,28.16
13,194,5,35.2
13,51,48,137.28
14,195,46,183.04
14,27,35,127.6
14,83,28,65.12
14,66,29,29.04
15,113,20,101.2
15,37,48,85.36
16,10,15,118.8
16,57,9,146.08
17,200,33,219.12
17,25,29,185.68
18,87,25,93.28
18,60,35,67.76
18,30,45,169.84
18,94,14,146.96
19,142,14,194.48
19,113,60,101.2
19,39,22,38.72
19,108,31,84.48
20,76,26,170.72
20,43,21,104.72
20,126,11,203.28
20,82,34,163.68
20,124,12,124.08
21,144,35,69.52
21,74,12,142.56
22,67,20,163.68
22,61,11,79.2
22,100,23,131.12
22,107,15,49.28
23,114,56,194.48
24,1,55,26.4
24,135,23,64.24
24,48,28,161.92
24,112,7,53.68
25,47,13,125.84
25,47,38,125.84
25,198,19,36.08
25,183,16,62.48
25,51,43,137.28
26,195,22,183.04
26,45,18,171.6
26,36,44,208.56
26,172,50,166.32
27,3,9,105.6
27,178,51,33.44
28,86,23,40.48
28,164,60,124.08
28,127,10,143.44
29,64,16,201.52
29,145,58,113.52
29,94,7,146.96
30,2,27,154.0
30,134,33,29.04
30,133,9,139.92
30,31,27,58.96
30,183,20,62.48
31,193,8,168.96
31,75,60,162.8
31,28,51,47.52
31,127,33,143.44
31,132,6,44.88
32,23,19,206.8
32,159,16,145.2
33,8,6,146.08
33,25,49,185.68
33,190,17,57.2
33,67,6,163.68
33,154,45,215.6
34,27,27,127.6
34,25,50,185.68
34,46,7,156.64
34,70,12,70.4
35,29,12,40.48
35,32,30,176.0
35,36,39,208.56
36,119,52,37.84
36,102,15,192.72
36,5,45,50.16
36,100,49,131.12
36,108,43,84.48
37,14,54,56.32
37,93,26,187.44
37,103,20,173.36
37,86,50,40.48
38,14,25,56.32
38,133,14,139.92
38,175,27,153.12
38,64,60,201.52
38,109,47,78.32
39,48,9,161.92
39,84,32,140.8
39,52,37,81.84
39,172,6,166.32
39,58,13,31.68
40,11,7,157.52
41,70,45,70.4
41,139,56,193.6
41,10,44,118.8
41,26,21,59.84
41,32,38,176.0
42,29,24,40.48
42,89,46,36.96
42,43,12,104.72
43,120,42,86.24
44,34,23,87.12
44,105,41,65.12
44,74,22,142.56
44,63,52,38.72
44,23,52,206.8
45,57,46,146.08
45,99,17,193.6
45,141,50,61.6
45,94,34,146.96
45,141,24,61.6
46,63,26,38.72
47,150,30,218.24
47,4,27,94.16
47,42,60,152.24
47,62,25,61.6
48,56,23,39.6
48,15,54,72.16
48,6,15,143.44
49,169,8,204.16
49,133,29,139.92
49,113,27,101.2
49,189,53,35.2
50,107,26,49.28
50,172,27,166.32
51,71,57,58.08
51,133,11,139.92
51,190,59,57.2
51,191,53,182.16
51,122,22,150.48
52,106,60,76.56
52,27,5,127.6
53,128,30,85.36
54,156,12,132.0
54,98,59,124.08
54,116,49,216.48
54,118,23,186.56
54,186,27,183.92
55,153,29,176.0
55,166,25,78.32
55,2,55,154.0
55,191,59,182.16
55,128,29,85.36
56,38,32,28.16
56,148,29,80.08
56,149,19,111.76
57,84,18,140.8
57,110,5,170.72
58,77,39,139.92
58,199,24,40.48
58,138,44,215.6
58,112,38,53.68
59,119,27,37.84
59,11,43,157.52
59,174,27,43.12
59,116,5,216.48
60,105,28,65.12
61,40,17,171.6
61,108,36,84.48
61,103,33,173.36
61,197,44,191.84
61,151,26,168.08
62,82,28,163.68
62,20,57,61.6
62,80,37,119.68
63,131,31,74.8
63,162,15,219.12
63,135,23,64.24
64,106,16,76.56
64,16,45,108.24
65,162,45,219.12
65,186,7,183.92
65,178,31,33.44
65,3,55,105.6
65,1,24,26.4
66,102,58,192.72
66,26,42,59.84
66,4,47,94.16
67,146,22,100.32
67,166,39,78.32
67,132,14,44.88
67,148,17,80.08
67,106,43,76.56
68,28,6,47.52
68,26,9,59.84
68,44,38,160.16
68,126,57,203.28
68,120,44,86.24
69,83,14,65.12
69,184,20,103.84
69,91,22,202.4
69,44,7,160.16
69,69,45,174.24
70,116,44,216.48
70,99,6,193.6
71,113,8,101.2
72,41,42,211.2
73,78,31,171.6
73,155,21,146.96
73,127,9,143.44
73,63,48,38.72
74,80,30,119.68
74,183,36,62.48
74,6,55,143.44
74,63,10,38.72
75,2,23,154.0
75,102,40,192.72
76,86,30,40.48
76,167,9,154.88
76,32,32,176.0
76,90,40,189.2
77,89,20,36.96
77,112,7,53.68
77,72,47,118.8
78,24,17,80.96
78,70,39,70.4
79,62,15,61.6
79,95,27,27.28
79,56,51,39.6
79,104,29,127.6
80,130,18,170.72
80,59,59,117.04
80,116,48,216.48
80,34,50,87.12
81,137,20,79.2
81,104,43,127.6
81,131,18,74.8
82,24,39,80.96
82,70,52,70.4
82,198,53,36.08
82,99,6,193.6
82,169,50,204.16
83,182,10,166.32
83,178,16,33.44
83,199,59,40.48
83,60,25,67.76
84,93,56,187.44
84,129,53,92.4
84,77,17,139.92
84,17,50,166.32
84,80,10,119.68
85,73,27,71.28
85,104,59,127.6
85,119,54,37.84
85,161,45,27.28
86,94,48,146.96
87,7,47,106.48
87,181,49,50.16
87,119,20,37.84
87,103,27,173.36
88,30,22,169.84
88,156,51,132.0
88,57,50,146.08
89,42,32,152.24
89,51,53,137.28
89,78,14,171.6
89,98,52,124.08
89,11,40,157.52
90,59,41,117.04
90,128,50,85.36
90,134,21,29.04
90,112,47,53.68
90,176,41,64.24
91,11,59,157.52
91,150,43,218.24
91,179,8,31.68
92,54,54,26.4
92,89,52,36.96
92,23,31,206.8
93,57,22,146.08
93,135,10,64.24
93,90,32,189.2
93,114,26,194.48
