invoice_id,payment_mode_id,payment_date,payment_amount,payment_status
1,1,2024-04-03,21076.0,Completed
2,1,2024-06-28,2469.28,Completed
3,2,2024-07-27,19143.52,Completed
4,3,2024-06-29,4290.0,Completed
5,3,2024-08-14,16871.36,Completed
6,2,2025-03-31,9836.64,Completed
7,1,2024-07-31,1585.76,Completed
8,2,2024-04-10,3062.4,Completed
9,4,2024-04-13,9702.0,Completed
10,1,2024-05-29,19547.44,Completed
11,1,2024-05-13,1649.12,Completed
12,4,2024-05-16,1166.88,Completed
13,3,2024-07-11,8263.2,Completed
14,1,2024-06-16,15551.36,Completed
15,2,2024-11-27,6121.28,Completed
16,1,2024-09-19,3096.72,Completed
17,1,2024-05-08,12615.68,Completed
18,3,2024-12-24,14403.84,Completed
19,1,2024-09-26,12265.44,Completed
20,3,2024-09-11,15928.0,Completed
21,2,2024-08-28,4143.92,Completed
22,3,2024-10-31,7899.76,Completed
23,3,2024-12-02,10890.88,Completed
24,2,2024-08-11,7839.04,Completed
25,2,2024-09-18,14006.08,Completed
26,3,2024-04-29,24608.32,Completed
27,3,2024-05-13,2655.84,Completed
28,3,2024-08-14,9810.24,Completed
29,3,2024-06-23,10837.2,Completed
30,2,2024-08-14,9217.12,Completed
31,1,2024-05-17,18546.0,Completed
32,2,2024-05-03,6252.4,Completed
33,2,2025-02-14,21631.28,Completed
34,3,2024-04-27,14670.48,Completed
35,4,2025-03-23,13899.6,Completed
36,1,2024-08-13,17173.2,Completed
37,2,2024-06-07,13405.92,Completed
38,2,2024-09-16,23273.36,Completed
39,2,2024-09-22,10400.72,Completed
40,4,2024-12-13,1102.64,Completed
41,3,2024-12-08,27181.44,Completed
42,2,2024-06-12,3928.32,Completed
43,4,2024-07-06,3622.08,Completed
44,3,2025-02-04,20577.04,Completed
45,1,2025-01-12,19565.92,Completed
46,1,2024-04-27,1006.72,Completed
47,1,2024-06-18,19763.92,Completed
48,4,2025-03-21,6959.04,Completed
49,3,2024-11-03,10288.96,Completed
50,2,2024-10-15,5771.92,Completed
51,3,2024-08-30,21189.52,Completed
52,1,2024-04-09,5231.6,Completed
53,4,2024-07-27,2560.8,Completed
54,4,2024-09-07,28768.96,Completed
55,4,2024-05-07,28754.88,Completed
56,1,2024-11-28,5346.88,Completed
57,1,2024-05-19,3388.0,Completed
58,4,2024-05-04,17954.64,Completed
59,4,2025-01-26,10041.68,Completed
60,1,2024-06-17,1823.36,Completed
61,4,2024-07-07,24490.4,Completed
62,1,2025-03-29,12522.4,Completed
63,4,2024-11-18,7083.12,Completed
64,4,2024-11-26,6095.76,Completed
65,2,2024-07-28,18626.08,Completed
66,2,2025-02-13,18116.56,Completed
67,4,2024-05-18,10543.28,Completed
68,4,2025-03-06,22291.28,Completed
69,1,2024-11-28,16403.2,Completed
70,1,2025-01-15,10686.72,Completed
71,2,2024-11-09,809.6,Completed
72,1,2024-06-10,8870.4,Completed
73,3,2024-04-07,11555.28,Completed
