product_id,mrp,distributor_price,retailer_price,effective_from
1,30,22.5,26.4,2024-01-01
2,175,131.25,154.0,2024-01-01
3,120,90.0,105.6,2024-01-01
4,107,80.25,94.16,2024-01-01
5,57,42.75,50.16,2024-01-01
6,163,122.25,143.44,2024-01-01
7,121,90.75,106.48,2024-01-01
8,166,124.5,146.08,2024-01-01
9,87,65.25,76.56,2024-01-01
10,135,101.25,118.8,2024-01-01
11,179,134.25,157.52,2024-01-01
12,107,80.25,94.16,2024-01-01
13,180,135.0,158.4,2024-01-01
14,64,48.0,56.32,2024-01-01
15,82,61.5,72.16,2024-01-01
16,123,92.25,108.24,2024-01-01
17,189,141.75,166.32,2024-01-01
18,242,181.5,212.96,2024-01-01
19,151,113.25,132.88,2024-01-01
20,70,52.5,61.6,2024-01-01
21,64,48.0,56.32,2024-01-01
22,33,24.75,29.04,2024-01-01
23,235,176.25,206.8,2024-01-01
24,92,69.0,80.96,2024-01-01
25,211,158.25,185.68,2024-01-01
26,68,51.0,59.84,2024-01-01
27,145,108.75,127.6,2024-01-01
28,54,40.5,47.52,2024-01-01
29,46,34.5,40.48,2024-01-01
30,193,144.75,169.84,2024-01-01
31,67,50.25,58.96,2024-01-01
32,200,150.0,176.0,2024-01-01
33,230,172.5,202.4,2024-01-01
34,99,74.25,87.12,2024-01-01
35,132,99.0,116.16,2024-01-01
36,237,177.75,208.56,2024-01-01
37,97,72.75,85.36,2024-01-01
38,32,24.0,28.16,2024-01-01
39,44,33.0,38.72,2024-01-01
40,195,146.25,171.6,2024-01-01
41,240,180.0,211.2,2024-01-01
42,173,129.75,152.24,2024-01-01
43,119,89.25,104.72,2024-01-01
44,182,136.5,160.16,2024-01-01
45,195,146.25,171.6,2024-01-01
46,178,133.5,156.64,2024-01-01
47,143,107.25,125.84,2024-01-01
48,184,138.0,161.92,2024-01-01
49,162,121.5,142.56,2024-01-01
50,217,162.75,190.96,2024-01-01
51,156,117.0,137.28,2024-01-01
52,93,69.75,81.84,2024-01-01
53,72,54.0,63.36,2024-01-01
54,30,22.5,26.4,2024-01-01
55,41,30.75,36.08,2024-01-01
56,45,33.75,39.6,2024-01-01
57,166,124.5,146.08,2024-01-01
58,36,27.0,31.68,2024-01-01
59,133,99.75,117.04,2024-01-01
60,77,57.75,67.76,2024-01-01
61,90,67.5,79.2,2024-01-01
62,70,52.5,61.6,2024-01-01
63,44,33.0,38.72,2024-01-01
64,229,171.75,201.52,2024-01-01
65,56,42.0,49.28,2024-01-01
66,33,24.75,29.04,2024-01-01
67,186,139.5,163.68,2024-01-01
68,171,128.25,150.48,2024-01-01
69,198,148.5,174.24,2024-01-01
70,80,60.0,70.4,2024-01-01
71,66,49.5,58.08,2024-01-01
72,135,101.25,118.8,2024-01-01
73,81,60.75,71.28,2024-01-01
74,162,121.5,142.56,2024-01-01
75,185,138.75,162.8,2024-01-01
76,194,145.5,170.72,2024-01-01
77,159,119.25,139.92,2024-01-01
78,195,146.25,171.6,2024-01-01
79,194,145.5,170.72,2024-01-01
80,136,102.0,119.68,2024-01-01
81,238,178.5,209.44,2024-01-01
82,186,139.5,163.68,2024-01-01
83,74,55.5,65.12,2024-01-01
84,160,120.0,140.8,2024-01-01
85,109,81.75,95.92,2024-01-01
86,46,34.5,40.48,2024-01-01
87,106,79.5,93.28,2024-01-01
88,190,142.5,167.2,2024-01-01
89,42,31.5,36.96,2024-01-01
90,215,161.25,189.2,2024-01-01
91,230,172.5,202.4,2024-01-01
92,152,114.0,133.76,2024-01-01
93,213,159.75,187.44,2024-01-01
94,167,125.25,146.96,2024-01-01
95,31,23.25,27.28,2024-01-01
96,126,94.5,110.88,2024-01-01
97,246,184.5,216.48,2024-01-01
98,141,105.75,124.08,2024-01-01
99,220,165.0,193.6,2024-01-01
100,149,111.75,131.12,2024-01-01
101,50,37.5,44.0,2024-01-01
102,219,164.25,192.72,2024-01-01
103,197,147.75,173.36,2024-01-01
104,145,108.75,127.6,2024-01-01
105,74,55.5,65.12,2024-01-01
106,87,65.25,76.56,2024-01-01
107,56,42.0,49.28,2024-01-01
108,96,72.0,84.48,2024-01-01
109,89,66.75,78.32,2024-01-01
110,194,145.5,170.72,2024-01-01
111,39,29.25,34.32,2024-01-01
112,61,45.75,53.68,2024-01-01
113,115,86.25,101.2,2024-01-01
114,221,165.75,194.48,2024-01-01
115,207,155.25,182.16,2024-01-01
116,246,184.5,216.48,2024-01-01
117,97,72.75,85.36,2024-01-01
118,212,159.0,186.56,2024-01-01
119,43,32.25,37.84,2024-01-01
120,98,73.5,86.24,2024-01-01
121,192,144.0,168.96,2024-01-01
122,171,128.25,150.48,2024-01-01
123,203,152.25,178.64,2024-01-01
124,141,105.75,124.08,2024-01-01
125,205,153.75,180.4,2024-01-01
126,231,173.25,203.28,2024-01-01
127,163,122.25,143.44,2024-01-01
128,97,72.75,85.36,2024-01-01
129,105,78.75,92.4,2024-01-01
130,194,145.5,170.72,2024-01-01
131,85,63.75,74.8,2024-01-01
132,51,38.25,44.88,2024-01-01
133,159,119.25,139.92,2024-01-01
134,33,24.75,29.04,2024-01-01
135,73,54.75,64.24,2024-01-01
136,96,72.0,84.48,2024-01-01
137,90,67.5,79.2,2024-01-01
138,245,183.75,215.6,2024-01-01
139,220,165.0,193.6,2024-01-01
140,81,60.75,71.28,2024-01-01
141,70,52.5,61.6,2024-01-01
142,221,165.75,194.48,2024-01-01
143,113,84.75,99.44,2024-01-01
144,79,59.25,69.52,2024-01-01
145,129,96.75,113.52,2024-01-01
146,114,85.5,100.32,2024-01-01
147,183,137.25,161.04,2024-01-01
148,91,68.25,80.08,2024-01-01
