product_id,gst_percentage,tax_category
1,18.0,FMCG
2,18.0,FMCG
3,18.0,FMCG
4,18.0,FMCG
5,18.0,FMCG
6,18.0,FMCG
7,18.0,FMCG
8,18.0,FMCG
9,18.0,FMCG
10,18.0,FMCG
11,18.0,FMCG
12,18.0,FMCG
13,18.0,FMCG
14,18.0,FMCG
15,18.0,FMCG
16,18.0,FMCG
17,18.0,FMCG
18,18.0,FMCG
19,18.0,FMCG
20,18.0,FMCG
21,18.0,FMCG
22,18.0,FMCG
23,18.0,FMCG
24,18.0,FMCG
25,18.0,FMCG
26,18.0,FMCG
27,18.0,FMCG
28,18.0,FMCG
29,18.0,FMCG
30,18.0,FMCG
31,18.0,FMCG
32,18.0,FMCG
33,18.0,FMCG
34,18.0,FMCG
35,18.0,FMCG
36,18.0,FMCG
37,18.0,FMCG
38,18.0,FMCG
39,18.0,FMCG
40,18.0,FMCG
41,18.0,FMCG
42,18.0,FMCG
43,18.0,FMCG
44,18.0,FMCG
45,18.0,FMCG
46,18.0,FMCG
47,18.0,FMCG
48,18.0,FMCG
49,18.0,FMCG
50,18.0,FMCG
51,18.0,FMCG
52,18.0,FMCG
53,18.0,FMCG
54,18.0,FMCG
55,18.0,FMCG
56,18.0,FMCG
57,18.0,FMCG
58,18.0,FMCG
59,18.0,FMCG
60,18.0,FMCG
61,18.0,FMCG
62,18.0,FMCG
63,18.0,FMCG
64,18.0,FMCG
65,18.0,FMCG
66,18.0,FMCG
67,18.0,FMCG
68,18.0,FMCG
69,18.0,FMCG
70,18.0,FMCG
71,18.0,FMCG
72,18.0,FMCG
73,18.0,FMCG
74,18.0,FMCG
75,18.0,FMCG
76,18.0,FMCG
77,18.0,FMCG
78,18.0,FMCG
79,18.0,FMCG
80,18.0,FMCG
81,18.0,FMCG
82,18.0,FMCG
83,18.0,FMCG
84,18.0,FMCG
85,18.0,FMCG
86,18.0,FMCG
87,18.0,FMCG
88,18.0,FMCG
89,18.0,FMCG
90,18.0,FMCG
91,18.0,FMCG
92,18.0,FMCG
93,18.0,FMCG
94,18.0,FMCG
95,18.0,FMCG
96,18.0,FMCG
97,18.0,FMCG
98,18.0,FMCG
99,18.0,FMCG
100,18.0,FMCG
101,18.0,FMCG
102,18.0,FMCG
103,18.0,FMCG
104,18.0,FMCG
105,18.0,FMCG
106,18.0,FMCG
107,18.0,FMCG
108,18.0,FMCG
109,18.0,FMCG
110,18.0,FMCG
111,18.0,FMCG
112,18.0,FMCG
113,18.0,FMCG
114,18.0,FMCG
115,18.0,FMCG
116,18.0,FMCG
117,18.0,FMCG
118,18.0,FMCG
119,18.0,FMCG
120,18.0,FMCG
121,18.0,FMCG
122,18.0,FMCG
123,18.0,FMCG
124,18.0,FMCG
125,18.0,FMCG
126,18.0,FMCG
127,18.0,FMCG
128,18.0,FMCG
129,18.0,FMCG
130,18.0,FMCG
131,18.0,FMCG
132,18.0,FMCG
133,18.0,FMCG
134,18.0,FMCG
135,18.0,FMCG
136,18.0,FMCG
137,18.0,FMCG
138,18.0,FMCG
139,18.0,FMCG
140,18.0,FMCG
141,18.0,FMCG
142,18.0,FMCG
143,18.0,FMCG
144,18.0,FMCG
145,18.0,FMCG
146,18.0,FMCG
147,18.0,FMCG
148,18.0,FMCG
149,18.0,FMCG
150,18.0,FMCG
151,18.0,FMCG
152,18.0,FMCG
153,18.0,FMCG
154,18.0,FMCG
155,18.0,FMCG
156,18.0,FMCG
157,18.0,FMCG
158,18.0,FMCG
159,18.0,FMCG
160,18.0,FMCG
161,18.0,FMCG
162,18.0,FMCG
163,18.0,FMCG
164,18.0,FMCG
165,18.0,FMCG
166,18.0,FMCG
167,18.0,FMCG
168,18.0,FMCG
169,18.0,FMCG
170,18.0,FMCG
171,18.0,FMCG
172,18.0,FMCG
173,18.0,FMCG
174,18.0,FMCG
175,18.0,FMCG
176,18.0,FMCG
177,18.0,FMCG
178,18.0,FMCG
179,18.0,FMCG
180,18.0,FMCG
181,18.0,FMCG
182,18.0,FMCG
183,18.0,FMCG
184,18.0,FMCG
185,18.0,FMCG
186,18.0,FMCG
187,18.0,FMCG
188,18.0,FMCG
189,18.0,FMCG
190,18.0,FMCG
191,18.0,FMCG
192,18.0,FMCG
193,18.0,FMCG
194,18.0,FMCG
195,18.0,FMCG
196,18.0,FMCG
197,18.0,FMCG
198,18.0,FMCG
199,18.0,FMCG
200,18.0,FMCG
