retailer_name,distributor_id,retailer_type_id,city_id
Shree Supermarket,17,1,45
Ramesh Traders,2,2,92
New Retail,10,2,56
Shree Retail,7,3,7
Shree Kirana,16,1,63
Sai Supermarket,19,3,66
Aggarwal Retail,6,3,28
Gupta Supermarket,6,1,82
New Supermarket,23,1,81
Patel Kirana,4,4,51
New Supermarket,21,1,48
Gupta Kirana,9,4,70
Balaji Mart,13,2,59
Sai Retail,20,1,45
Patel Retail,5,4,85
Balaji Traders,11,2,60
Ramesh Traders,25,3,75
Gupta Mart,11,4,83
Gupta Retail,7,3,39
Sai Traders,5,2,93
Patel Retail,17,3,21
Gupta Kirana,7,3,94
New Mart,22,1,26
Kumar Mart,5,3,94
Aggarwal Supermarket,9,2,14
New Kirana,7,4,60
Shree Stores,13,4,89
Gupta Retail,21,3,60
Shree Mart,9,4,1
Gupta Supermarket,23,4,30
Gupta Traders,6,1,59
Kumar Kirana,9,1,54
Gupta Supermarket,23,2,33
Kumar Supermarket,15,1,80
Kumar Retail,22,2,84
Patel Stores,13,4,14
Shree Kirana,18,2,21
Gupta Retail,12,1,74
Ramesh Retail,7,4,66
Shree Traders,12,3,53
Ramesh Mart,22,2,51
Balaji Stores,24,3,82
Shree Kirana,9,4,52
Shree Stores,3,4,54
Patel Retail,9,1,29
Aggarwal Traders,13,2,51
Ramesh Mart,6,2,9
Gupta Supermarket,21,2,19
Patel Traders,21,4,60
Aggarwal Retail,21,2,61
Patel Mart,9,4,88
Aggarwal Supermarket,22,2,62
Shree Traders,9,3,32
Aggarwal Kirana,16,4,55
New Traders,12,2,39
Kumar Stores,3,3,18
Balaji Kirana,21,1,85
Shree Mart,3,3,33
New Retail,5,2,24
Ramesh Kirana,5,2,52
Balaji Mart,20,1,86
Balaji Traders,10,2,64
Gupta Retail,3,4,86
New Retail,4,3,54
Gupta Mart,16,4,72
Shree Supermarket,15,2,90
Ramesh Mart,16,2,70
Shree Mart,11,4,90
Ramesh Traders,10,4,48
Kumar Supermarket,22,1,24
Patel Traders,21,1,3
Shree Traders,24,3,13
Balaji Supermarket,16,2,5
Gupta Traders,14,2,44
New Traders,12,3,61
Balaji Retail,25,2,37
Kumar Kirana,14,3,71
Shree Kirana,10,3,64
Kumar Kirana,17,3,65
Patel Mart,21,4,16
Patel Mart,11,3,17
New Stores,13,4,70
Shree Supermarket,10,1,1
Shree Mart,16,1,65
Balaji Retail,13,2,81
New Mart,2,4,81
Sai Stores,22,2,5
Kumar Stores,21,1,48
Sai Kirana,18,3,39
Sai Supermarket,2,3,3
Kumar Retail,21,1,64
Balaji Stores,4,4,74
Kumar Supermarket,3,1,88
Kumar Retail,19,2,61
Kumar Retail,4,1,83
Ramesh Mart,5,1,55
Shree Stores,22,1,12
Gupta Stores,5,4,3
Aggarwal Traders,19,2,58
Sai Stores,12,2,94
New Kirana,21,4,59
Aggarwal Stores,23,1,2
Shree Stores,21,1,50
Aggarwal Kirana,24,2,63
Shree Kirana,12,4,61
Sai Mart,4,3,83
Sai Traders,14,4,50
Ramesh Kirana,25,3,38
Aggarwal Stores,20,3,78
Shree Mart,20,3,75
Kumar Mart,13,4,88
Kumar Retail,25,2,58
Aggarwal Traders,1,3,34
Aggarwal Supermarket,6,1,37
Sai Retail,5,3,71
Ramesh Kirana,18,1,70
Balaji Supermarket,13,2,93
Gupta Kirana,20,1,87
Kumar Supermarket,23,2,33
Shree Supermarket,15,1,69
