retailer_id,distributor_id,financial_year_id,order_date,order_status,total_amount
104,12,1,2024-05-03,Confirmed,21076.0
76,7,1,2024-07-06,Confirmed,2469.28
47,19,1,2025-01-14,Dispatched,19143.52
14,12,1,2025-02-18,Dispatched,4290.0
77,1,1,2024-09-24,Dispatched,16871.36
28,9,1,2024-08-22,Dispatched,9836.64
76,20,1,2024-06-07,Dispatched,1585.76
24,13,1,2024-05-13,Confirmed,3062.4
48,23,1,2024-11-21,Dispatched,9702.0
51,4,1,2025-03-28,Confirmed,19547.44
65,13,1,2024-07-03,Dispatched,1649.12
23,2,1,2024-08-10,Dispatched,1166.88
108,2,1,2024-08-11,Delivered,8263.2
96,10,1,2025-01-27,Delivered,15551.36
16,12,1,2024-12-03,Dispatched,6121.28
115,1,1,2024-11-26,Delivered,3096.72
120,20,1,2024-10-09,Delivered,12615.68
108,1,1,2025-02-16,Confirmed,14403.84
43,8,1,2024-04-30,Confirmed,12265.44
32,5,1,2024-04-14,Dispatched,15928.0
20,17,1,2024-04-30,Delivered,4143.92
33,25,1,2024-07-13,Dispatched,7899.76
8,24,1,2024-08-29,Confirmed,10890.88
65,11,1,2024-12-18,Confirmed,7839.04
117,14,1,2024-07-21,Dispatched,14006.08
11,3,1,2025-02-06,Delivered,24608.32
81,7,1,2025-01-24,Dispatched,2655.84
67,14,1,2024-04-29,Delivered,9810.24
2,14,1,2024-12-01,Confirmed,10837.2
21,23,1,2024-10-08,Delivered,9217.12
105,11,1,2025-03-31,Dispatched,18546.0
68,18,1,2024-06-08,Confirmed,6252.4
22,4,1,2024-09-07,Dispatched,21631.28
74,15,1,2024-12-24,Confirmed,14670.48
60,16,1,2025-01-25,Delivered,13899.6
76,8,1,2024-07-26,Confirmed,17173.2
108,20,1,2024-12-26,Confirmed,13405.92
56,19,1,2024-09-12,Dispatched,23273.36
81,1,1,2024-10-04,Confirmed,10400.72
54,13,1,2024-11-19,Delivered,1102.64
111,21,1,2025-02-12,Dispatched,27181.44
2,14,1,2024-07-31,Confirmed,3928.32
8,20,1,2024-12-20,Dispatched,3622.08
69,5,1,2024-11-12,Confirmed,20577.04
70,10,1,2024-11-19,Delivered,19565.92
79,16,1,2024-11-27,Dispatched,1006.72
29,7,1,2024-12-19,Delivered,19763.92
72,11,1,2024-12-08,Dispatched,6959.04
71,3,1,2025-02-05,Dispatched,10288.96
14,17,1,2024-07-25,Delivered,5771.92
18,22,1,2024-07-13,Delivered,21189.52
101,21,1,2025-03-29,Delivered,5231.6
53,25,1,2025-01-07,Delivered,2560.8
74,5,1,2024-10-31,Dispatched,28768.96
38,12,1,2024-10-18,Delivered,28754.88
57,10,1,2024-07-04,Delivered,5346.88
12,11,1,2024-09-13,Delivered,3388.0
4,2,1,2024-08-10,Delivered,17954.64
106,17,1,2025-03-17,Dispatched,10041.68
87,3,1,2024-12-25,Confirmed,1823.36
65,13,1,2025-02-27,Delivered,24490.4
89,17,1,2024-05-18,Confirmed,12522.4
23,4,1,2025-03-02,Dispatched,7083.12
105,17,1,2024-07-16,Delivered,6095.76
73,20,1,2024-05-25,Dispatched,18626.08
91,23,1,2025-01-09,Confirmed,18116.56
4,7,1,2024-06-29,Dispatched,10543.28
16,5,1,2024-06-20,Delivered,22291.28
56,2,1,2025-02-27,Confirmed,16403.2
13,19,1,2024-05-03,Dispatched,10686.72
7,8,1,2024-10-20,Delivered,809.6
80,8,1,2024-08-06,Confirmed,8870.4
110,6,1,2024-09-09,Confirmed,11555.28
50,22,1,2025-01-25,Confirmed,14116.08
23,6,1,2024-10-01,Dispatched,11250.8
47,4,1,2024-09-19,Delivered,15808.32
32,13,1,2024-07-07,Dispatched,6698.56
4,11,1,2024-06-19,Confirmed,4121.92
107,5,1,2025-01-10,Dispatched,7380.56
81,19,1,2024-07-16,Dispatched,24725.36
34,20,1,2024-11-12,Delivered,8417.2
17,25,1,2024-06-02,Delivered,20100.08
73,5,1,2024-09-07,Confirmed,6280.56
25,22,1,2024-05-26,Confirmed,27285.28
29,10,1,2024-06-04,Delivered,12723.92
111,5,1,2024-08-20,Confirmed,7054.08
103,22,1,2025-03-20,Dispatched,12899.92
116,21,1,2024-05-21,Confirmed,17772.48
87,2,1,2024-10-25,Confirmed,27302.88
40,21,1,2025-02-21,Confirmed,14833.28
45,1,1,2024-05-28,Delivered,18931.44
32,22,1,2024-05-27,Confirmed,9758.32
89,24,1,2024-10-19,Delivered,16204.32
95,23,1,2025-02-16,Delivered,10567.04
109,25,1,2024-06-05,Dispatched,6073.76
23,18,1,2024-06-23,Delivered,3109.04
22,12,1,2024-09-25,Dispatched,3682.8
40,5,1,2024-06-09,Delivered,12288.32
57,5,1,2025-02-23,Dispatched,11663.52
43,21,1,2024-05-31,Delivered,14345.76
99,13,1,2024-07-15,Confirmed,6636.96
115,9,1,2024-09-03,Confirmed,1224.96
58,4,1,2024-06-22,Dispatched,15183.52
2,15,1,2024-12-05,Confirmed,6820.0
56,16,1,2024-07-07,Delivered,12990.56
79,24,1,2025-03-01,Delivered,3657.28
4,25,1,2024-10-20,Confirmed,7448.32
14,24,1,2024-09-06,Delivered,22799.04
118,12,1,2024-08-08,Confirmed,1732.72
73,21,1,2025-03-28,Dispatched,1425.6
55,16,1,2024-06-20,Dispatched,17668.64
52,3,1,2024-04-21,Dispatched,15688.64
107,17,1,2024-11-04,Confirmed,14071.2
114,11,1,2024-05-03,Dispatched,6520.8
23,24,1,2024-06-24,Dispatched,18288.16
26,16,1,2024-05-14,Delivered,13052.16
20,13,1,2025-02-06,Delivered,5520.24
87,11,1,2025-02-06,Delivered,12851.52
83,5,1,2024-09-01,Dispatched,14473.36
85,19,1,2024-10-08,Delivered,14089.68
24,7,1,2025-01-06,Delivered,8764.8
108,9,1,2025-02-27,Confirmed,6434.56
63,8,1,2025-01-09,Dispatched,8317.76
95,17,1,2025-01-27,Delivered,3125.76
10,15,1,2024-06-08,Delivered,21663.84
88,13,1,2025-01-04,Confirmed,4378.0
18,12,1,2025-02-11,Confirmed,9191.6
59,10,1,2024-06-01,Delivered,12689.6
26,19,1,2024-05-29,Delivered,24412.96
98,24,1,2025-03-15,Confirmed,8960.16
46,24,1,2024-12-07,Confirmed,20900.0
32,9,1,2024-09-29,Confirmed,26512.64
15,3,1,2024-08-11,Confirmed,7492.32
49,5,1,2025-01-27,Dispatched,18455.36
62,2,1,2024-04-19,Confirmed,12035.76
77,13,1,2024-11-30,Confirmed,11221.76
28,10,1,2024-06-07,Delivered,25348.4
50,12,1,2024-09-08,Confirmed,7549.52
59,20,1,2024-04-24,Delivered,3408.24
50,9,1,2024-05-03,Delivered,14440.8
90,2,1,2025-01-13,Confirmed,2594.24
82,4,1,2024-10-03,Dispatched,7286.4
